ID,esq_q1_sem0,esq_q2_sem0,esq_q3_sem0,esq_q4_sem0,esq_q5_sem0,esq_q6_sem0,esq_q7_sem0,esq_q8_sem0,esq_q9_sem0,esq_q10_sem0,esq_q11_sem0,esq_q12_sem0,esq_q13_sem0,esq_q14_sem0,esq_q15_sem0,esq_q16_sem0,esq_q17_sem0,esq_q18_sem0,esq_q19_sem0,esq_q20_sem0,esq_q21_sem0,esq_q22_sem0,esq_q23_sem0,esq_q24_sem0,esq_q25_sem0
p001_full,1.0,2.0,1.0,1.0,2.0,0.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0
p001_omit_q01,,2.0,1.0,1.0,2.0,0.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0
p001_omit_q02,1.0,,1.0,1.0,2.0,0.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0
p001_omit_q03,1.0,2.0,,1.0,2.0,0.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0
p001_omit_q04,1.0,2.0,1.0,,2.0,0.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0
p001_omit_q05,1.0,2.0,1.0,1.0,,0.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0
p001_omit_q06,1.0,2.0,1.0,1.0,2.0,,1.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0
p001_omit_q07,1.0,2.0,1.0,1.0,2.0,0.0,,1.0,2.0,2.0,1.0,2.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0
p001_omit_q08,1.0,2.0,1.0,1.0,2.0,0.0,1.0,,2.0,2.0,1.0,2.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0
p001_omit_q09,1.0,2.0,1.0,1.0,2.0,0.0,1.0,1.0,,2.0,1.0,2.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0
p001_omit_q10,1.0,2.0,1.0,1.0,2.0,0.0,1.0,1.0,2.0,,1.0,2.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0
p001_omit_q11,1.0,2.0,1.0,1.0,2.0,0.0,1.0,1.0,2.0,2.0,,2.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0
p001_omit_q12,1.0,2.0,1.0,1.0,2.0,0.0,1.0,1.0,2.0,2.0,1.0,,2.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0
p001_omit_q13,1.0,2.0,1.0,1.0,2.0,0.0,1.0,1.0,2.0,2.0,1.0,2.0,,1.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0
p001_omit_q14,1.0,2.0,1.0,1.0,2.0,0.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,,0.0,1.0,1.0,1.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0
p001_omit_q15,1.0,2.0,1.0,1.0,2.0,0.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,,1.0,1.0,1.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0
p001_omit_q16,1.0,2.0,1.0,1.0,2.0,0.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,0.0,,1.0,1.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0
p001_omit_q17,1.0,2.0,1.0,1.0,2.0,0.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,0.0,1.0,,1.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0
p001_omit_q18,1.0,2.0,1.0,1.0,2.0,0.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,0.0,1.0,1.0,,0.0,0.0,2.0,2.0,1.0,1.0,1.0
p001_omit_q19,1.0,2.0,1.0,1.0,2.0,0.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,0.0,1.0,1.0,1.0,,0.0,2.0,2.0,1.0,1.0,1.0
p001_omit_q20,1.0,2.0,1.0,1.0,2.0,0.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,,2.0,2.0,1.0,1.0,1.0
p001_omit_q21,1.0,2.0,1.0,1.0,2.0,0.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,,2.0,1.0,1.0,1.0
p001_omit_q22,1.0,2.0,1.0,1.0,2.0,0.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,,1.0,1.0,1.0
p001_omit_q23,1.0,2.0,1.0,1.0,2.0,0.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,2.0,,1.0,1.0
p001_omit_q24,1.0,2.0,1.0,1.0,2.0,0.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,2.0,1.0,,1.0
p001_omit_q25,1.0,2.0,1.0,1.0,2.0,0.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,2.0,1.0,1.0,
p002_full,1.0,2.0,1.0,0.0,2.0,1.0,2.0,0.0,3.0,3.0,3.0,2.0,2.0,1.0,1.0,2.0,3.0,1.0,2.0,2.0,1.0,1.0,2.0,3.0,3.0
p002_omit_q01,,2.0,1.0,0.0,2.0,1.0,2.0,0.0,3.0,3.0,3.0,2.0,2.0,1.0,1.0,2.0,3.0,1.0,2.0,2.0,1.0,1.0,2.0,3.0,3.0
p002_omit_q02,1.0,,1.0,0.0,2.0,1.0,2.0,0.0,3.0,3.0,3.0,2.0,2.0,1.0,1.0,2.0,3.0,1.0,2.0,2.0,1.0,1.0,2.0,3.0,3.0
p002_omit_q03,1.0,2.0,,0.0,2.0,1.0,2.0,0.0,3.0,3.0,3.0,2.0,2.0,1.0,1.0,2.0,3.0,1.0,2.0,2.0,1.0,1.0,2.0,3.0,3.0
p002_omit_q04,1.0,2.0,1.0,,2.0,1.0,2.0,0.0,3.0,3.0,3.0,2.0,2.0,1.0,1.0,2.0,3.0,1.0,2.0,2.0,1.0,1.0,2.0,3.0,3.0
p002_omit_q05,1.0,2.0,1.0,0.0,,1.0,2.0,0.0,3.0,3.0,3.0,2.0,2.0,1.0,1.0,2.0,3.0,1.0,2.0,2.0,1.0,1.0,2.0,3.0,3.0
p002_omit_q06,1.0,2.0,1.0,0.0,2.0,,2.0,0.0,3.0,3.0,3.0,2.0,2.0,1.0,1.0,2.0,3.0,1.0,2.0,2.0,1.0,1.0,2.0,3.0,3.0
p002_omit_q07,1.0,2.0,1.0,0.0,2.0,1.0,,0.0,3.0,3.0,3.0,2.0,2.0,1.0,1.0,2.0,3.0,1.0,2.0,2.0,1.0,1.0,2.0,3.0,3.0
p002_omit_q08,1.0,2.0,1.0,0.0,2.0,1.0,2.0,,3.0,3.0,3.0,2.0,2.0,1.0,1.0,2.0,3.0,1.0,2.0,2.0,1.0,1.0,2.0,3.0,3.0
p002_omit_q09,1.0,2.0,1.0,0.0,2.0,1.0,2.0,0.0,,3.0,3.0,2.0,2.0,1.0,1.0,2.0,3.0,1.0,2.0,2.0,1.0,1.0,2.0,3.0,3.0
p002_omit_q10,1.0,2.0,1.0,0.0,2.0,1.0,2.0,0.0,3.0,,3.0,2.0,2.0,1.0,1.0,2.0,3.0,1.0,2.0,2.0,1.0,1.0,2.0,3.0,3.0
p002_omit_q11,1.0,2.0,1.0,0.0,2.0,1.0,2.0,0.0,3.0,3.0,,2.0,2.0,1.0,1.0,2.0,3.0,1.0,2.0,2.0,1.0,1.0,2.0,3.0,3.0
p002_omit_q12,1.0,2.0,1.0,0.0,2.0,1.0,2.0,0.0,3.0,3.0,3.0,,2.0,1.0,1.0,2.0,3.0,1.0,2.0,2.0,1.0,1.0,2.0,3.0,3.0
p002_omit_q13,1.0,2.0,1.0,0.0,2.0,1.0,2.0,0.0,3.0,3.0,3.0,2.0,,1.0,1.0,2.0,3.0,1.0,2.0,2.0,1.0,1.0,2.0,3.0,3.0
p002_omit_q14,1.0,2.0,1.0,0.0,2.0,1.0,2.0,0.0,3.0,3.0,3.0,2.0,2.0,,1.0,2.0,3.0,1.0,2.0,2.0,1.0,1.0,2.0,3.0,3.0
p002_omit_q15,1.0,2.0,1.0,0.0,2.0,1.0,2.0,0.0,3.0,3.0,3.0,2.0,2.0,1.0,,2.0,3.0,1.0,2.0,2.0,1.0,1.0,2.0,3.0,3.0
p002_omit_q16,1.0,2.0,1.0,0.0,2.0,1.0,2.0,0.0,3.0,3.0,3.0,2.0,2.0,1.0,1.0,,3.0,1.0,2.0,2.0,1.0,1.0,2.0,3.0,3.0
p002_omit_q17,1.0,2.0,1.0,0.0,2.0,1.0,2.0,0.0,3.0,3.0,3.0,2.0,2.0,1.0,1.0,2.0,,1.0,2.0,2.0,1.0,1.0,2.0,3.0,3.0
p002_omit_q18,1.0,2.0,1.0,0.0,2.0,1.0,2.0,0.0,3.0,3.0,3.0,2.0,2.0,1.0,1.0,2.0,3.0,,2.0,2.0,1.0,1.0,2.0,3.0,3.0
p002_omit_q19,1.0,2.0,1.0,0.0,2.0,1.0,2.0,0.0,3.0,3.0,3.0,2.0,2.0,1.0,1.0,2.0,3.0,1.0,,2.0,1.0,1.0,2.0,3.0,3.0
p002_omit_q20,1.0,2.0,1.0,0.0,2.0,1.0,2.0,0.0,3.0,3.0,3.0,2.0,2.0,1.0,1.0,2.0,3.0,1.0,2.0,,1.0,1.0,2.0,3.0,3.0
p002_omit_q21,1.0,2.0,1.0,0.0,2.0,1.0,2.0,0.0,3.0,3.0,3.0,2.0,2.0,1.0,1.0,2.0,3.0,1.0,2.0,2.0,,1.0,2.0,3.0,3.0
p002_omit_q22,1.0,2.0,1.0,0.0,2.0,1.0,2.0,0.0,3.0,3.0,3.0,2.0,2.0,1.0,1.0,2.0,3.0,1.0,2.0,2.0,1.0,,2.0,3.0,3.0
p002_omit_q23,1.0,2.0,1.0,0.0,2.0,1.0,2.0,0.0,3.0,3.0,3.0,2.0,2.0,1.0,1.0,2.0,3.0,1.0,2.0,2.0,1.0,1.0,,3.0,3.0
p002_omit_q24,1.0,2.0,1.0,0.0,2.0,1.0,2.0,0.0,3.0,3.0,3.0,2.0,2.0,1.0,1.0,2.0,3.0,1.0,2.0,2.0,1.0,1.0,2.0,,3.0
p002_omit_q25,1.0,2.0,1.0,0.0,2.0,1.0,2.0,0.0,3.0,3.0,3.0,2.0,2.0,1.0,1.0,2.0,3.0,1.0,2.0,2.0,1.0,1.0,2.0,3.0,
p003_full,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,2.0,3.0,2.0,3.0,3.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,3.0,2.0
p003_omit_q01,,0.0,0.0,0.0,2.0,1.0,2.0,0.0,2.0,3.0,2.0,3.0,3.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,3.0,2.0
p003_omit_q02,0.0,,0.0,0.0,2.0,1.0,2.0,0.0,2.0,3.0,2.0,3.0,3.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,3.0,2.0
p003_omit_q03,0.0,0.0,,0.0,2.0,1.0,2.0,0.0,2.0,3.0,2.0,3.0,3.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,3.0,2.0
p003_omit_q04,0.0,0.0,0.0,,2.0,1.0,2.0,0.0,2.0,3.0,2.0,3.0,3.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,3.0,2.0
p003_omit_q05,0.0,0.0,0.0,0.0,,1.0,2.0,0.0,2.0,3.0,2.0,3.0,3.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,3.0,2.0
p003_omit_q06,0.0,0.0,0.0,0.0,2.0,,2.0,0.0,2.0,3.0,2.0,3.0,3.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,3.0,2.0
p003_omit_q07,0.0,0.0,0.0,0.0,2.0,1.0,,0.0,2.0,3.0,2.0,3.0,3.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,3.0,2.0
p003_omit_q08,0.0,0.0,0.0,0.0,2.0,1.0,2.0,,2.0,3.0,2.0,3.0,3.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,3.0,2.0
p003_omit_q09,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,,3.0,2.0,3.0,3.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,3.0,2.0
p003_omit_q10,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,2.0,,2.0,3.0,3.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,3.0,2.0
p003_omit_q11,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,2.0,3.0,,3.0,3.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,3.0,2.0
p003_omit_q12,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,2.0,3.0,2.0,,3.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,3.0,2.0
p003_omit_q13,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,2.0,3.0,2.0,3.0,,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,3.0,2.0
p003_omit_q14,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,2.0,3.0,2.0,3.0,3.0,,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,3.0,2.0
p003_omit_q15,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,2.0,3.0,2.0,3.0,3.0,1.0,,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,3.0,2.0
p003_omit_q16,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,2.0,3.0,2.0,3.0,3.0,1.0,1.0,,2.0,2.0,2.0,1.0,1.0,1.0,1.0,3.0,2.0
p003_omit_q17,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,2.0,3.0,2.0,3.0,3.0,1.0,1.0,2.0,,2.0,2.0,1.0,1.0,1.0,1.0,3.0,2.0
p003_omit_q18,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,2.0,3.0,2.0,3.0,3.0,1.0,1.0,2.0,2.0,,2.0,1.0,1.0,1.0,1.0,3.0,2.0
p003_omit_q19,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,2.0,3.0,2.0,3.0,3.0,1.0,1.0,2.0,2.0,2.0,,1.0,1.0,1.0,1.0,3.0,2.0
p003_omit_q20,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,2.0,3.0,2.0,3.0,3.0,1.0,1.0,2.0,2.0,2.0,2.0,,1.0,1.0,1.0,3.0,2.0
p003_omit_q21,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,2.0,3.0,2.0,3.0,3.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,,1.0,1.0,3.0,2.0
p003_omit_q22,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,2.0,3.0,2.0,3.0,3.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,,1.0,3.0,2.0
p003_omit_q23,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,2.0,3.0,2.0,3.0,3.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,,3.0,2.0
p003_omit_q24,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,2.0,3.0,2.0,3.0,3.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,,2.0
p003_omit_q25,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,2.0,3.0,2.0,3.0,3.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,3.0,
p004_full,1.0,2.0,1.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0,3.0,1.0,0.0,2.0,0.0,2.0,3.0
p004_omit_q01,,2.0,1.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0,3.0,1.0,0.0,2.0,0.0,2.0,3.0
p004_omit_q02,1.0,,1.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0,3.0,1.0,0.0,2.0,0.0,2.0,3.0
p004_omit_q03,1.0,2.0,,0.0,2.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0,3.0,1.0,0.0,2.0,0.0,2.0,3.0
p004_omit_q04,1.0,2.0,1.0,,2.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0,3.0,1.0,0.0,2.0,0.0,2.0,3.0
p004_omit_q05,1.0,2.0,1.0,0.0,,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0,3.0,1.0,0.0,2.0,0.0,2.0,3.0
p004_omit_q06,1.0,2.0,1.0,0.0,2.0,,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0,3.0,1.0,0.0,2.0,0.0,2.0,3.0
p004_omit_q07,1.0,2.0,1.0,0.0,2.0,1.0,,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0,3.0,1.0,0.0,2.0,0.0,2.0,3.0
p004_omit_q08,1.0,2.0,1.0,0.0,2.0,1.0,0.0,,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0,3.0,1.0,0.0,2.0,0.0,2.0,3.0
p004_omit_q09,1.0,2.0,1.0,0.0,2.0,1.0,0.0,0.0,,1.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0,3.0,1.0,0.0,2.0,0.0,2.0,3.0
p004_omit_q10,1.0,2.0,1.0,0.0,2.0,1.0,0.0,0.0,1.0,,1.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0,3.0,1.0,0.0,2.0,0.0,2.0,3.0
p004_omit_q11,1.0,2.0,1.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,,1.0,1.0,0.0,1.0,1.0,2.0,1.0,3.0,1.0,0.0,2.0,0.0,2.0,3.0
p004_omit_q12,1.0,2.0,1.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,1.0,,1.0,0.0,1.0,1.0,2.0,1.0,3.0,1.0,0.0,2.0,0.0,2.0,3.0
p004_omit_q13,1.0,2.0,1.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,,0.0,1.0,1.0,2.0,1.0,3.0,1.0,0.0,2.0,0.0,2.0,3.0
p004_omit_q14,1.0,2.0,1.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,2.0,1.0,3.0,1.0,0.0,2.0,0.0,2.0,3.0
p004_omit_q15,1.0,2.0,1.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,,1.0,2.0,1.0,3.0,1.0,0.0,2.0,0.0,2.0,3.0
p004_omit_q16,1.0,2.0,1.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,,2.0,1.0,3.0,1.0,0.0,2.0,0.0,2.0,3.0
p004_omit_q17,1.0,2.0,1.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,,1.0,3.0,1.0,0.0,2.0,0.0,2.0,3.0
p004_omit_q18,1.0,2.0,1.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,,3.0,1.0,0.0,2.0,0.0,2.0,3.0
p004_omit_q19,1.0,2.0,1.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0,,1.0,0.0,2.0,0.0,2.0,3.0
p004_omit_q20,1.0,2.0,1.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0,3.0,,0.0,2.0,0.0,2.0,3.0
p004_omit_q21,1.0,2.0,1.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0,3.0,1.0,,2.0,0.0,2.0,3.0
p004_omit_q22,1.0,2.0,1.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0,3.0,1.0,0.0,,0.0,2.0,3.0
